Id,Sales
1,4245.815
2,7699.135
3,8837.07
4,6770.44
5,6516.935
6,5766.195
7,8108.58
8,8186.06
9,5965.32
10,5631.98
11,6716.76
12,8160.465
13,7068.6
14,9883.72
15,5584.84
16,5505.005
17,5863.13
18,9133.645
19,10459.11
20,10055.89
21,7505.625
22,5464.125
23,6031.37
24,5093.08
25,7246.195
26,10188.455
27,10371.055
28,5908.25
29,5045.61
30,4894.82
31,6930.46
32,10364.285
33,7455.275
34,5290.66
35,6805.04
36,7683.74
37,3728.31
38,7216.41
39,4274.575
40,8081.41
41,7641.74
42,5356.48
43,7788.155
44,7756.945
45,4629.885
46,6197.815
47,7405.995
48,11880.685
49,5865.715
50,8013.875
51,7104.55
52,9512.2
53,6036.56
54,9500.09
55,6006.105
56,4786.59
57,6127.52
58,5716.555
59,8368.195
60,7882.455
61,5531.02
62,7551.94
63,7941.285
64,10494.48
65,3812.105
66,12796.915
67,4964.075
68,6463.185
69,8516.82
70,5957.805
71,6207.21
72,6317.415
73,7389.395
74,5393.995
75,5785.13
76,8358.705
77,7391.93
78,7435.14
79,5031.225
80,7083.2
81,8009.915
82,6311.925
83,4560.58
84,7098.995
85,5869.49
86,7131.17
87,7353.835
88,3929.96
89,7389.3
90,6112.9
91,7178.22
92,6945.7
93,3925.63
94,5782.615
95,5797.825
96,7511.265
97,11196.55
98,5334.95
99,4728.01
100,7634.225
101,6096.495
102,7130.78
103,9615.495
104,7982.505
105,7757.375
106,5822.33
107,4329.655
108,7651.525
109,9722.46
110,8966.965
111,8281.615
112,7956.04
113,6021.46
114,8338.01
115,5514.16
116,8091.24
117,8768.24
118,8081.81
119,10079.44
120,7534.415
121,8840.705
122,6071.65
123,7143.83
124,8691.005
125,6428.11
126,4315.565
127,5615.115
128,7648.36
129,5569.555
130,4909.745
131,8254.885
132,7247.94
133,6028.515
134,5982.295
135,5280.47
136,7424.705
137,6953.35
138,8042.96
139,5557.005
140,5492.46
141,6476.449166666666
142,4368.045
143,6021.205
144,4973.9
145,8869.405
146,7013.545
147,6340.14
148,5841.675
149,5209.75
150,5340.87
151,10278.105
152,6681.94
153,8336.275
154,7638.06
155,6074.255
156,6205.695
157,5909.77
158,7900.655
159,11939.84
160,6193.94
161,3150.335
162,4920.07
163,8808.24
164,8962.275
165,7614.225
166,7663.445
167,5452.525
168,5936.225
169,3272.565
170,5078.0
171,5776.028333333333
172,6859.78
173,7319.605
174,8581.62
175,7899.88
176,9068.34
177,7213.165
178,5916.71
179,9219.02
180,10670.835
181,6595.05
182,8053.725
183,5010.425
184,6317.5
185,4135.58
186,8778.68
187,5483.91
188,9368.585
189,7282.735
190,8745.0
191,7916.75
192,5247.805
193,8878.885
194,18037.785
195,10498.39
196,5542.29
197,2853.74
198,6018.82
199,9830.81
200,5402.235
201,12241.605
202,17656.825
203,3809.84
204,5039.01
205,10853.335
206,5122.65
207,9436.715
208,7016.02
209,6950.295
210,3804.73
211,8391.09
212,6295.715
213,7050.96
214,7053.02
215,6010.81
216,5966.705
217,7419.31
218,6010.8
219,5047.905
220,8804.81
221,6590.815
222,5977.4
223,7574.78
224,6231.435
225,5636.07
226,7092.955
227,6865.23
228,10909.74
229,7037.805
230,7580.84
231,5833.395
232,3880.635
233,7624.01
234,7213.0
235,5496.835
236,4604.76
237,8714.42
238,7802.965
239,8663.23
240,6826.045
241,5902.315
242,5561.745
243,4447.22
244,9272.405
245,6268.175
246,7853.9
247,15415.555
248,6977.565
249,8317.03
250,5459.455
251,4850.26
252,6846.12
253,4300.125
254,5724.595
255,10914.76
256,5328.745
257,16175.535
258,13613.54
259,4531.115
260,6859.325
261,6280.06
262,6643.22
263,5715.925
264,5512.4
265,7633.2
266,9357.855
267,4969.475
268,7153.41
269,4853.380714285714
270,9981.75
271,7159.135
272,5936.515
273,6265.849166666668
274,5610.51
275,7850.096666666666
276,10171.665
277,5676.73
278,10183.25
279,6348.053000000001
280,11117.485
281,5518.395
282,6394.025
283,5558.745
284,9773.145
285,6533.095
286,7659.16
287,6676.795
288,8530.645
289,4538.455
290,8025.05
291,6892.085
292,4043.095
293,14415.18
294,18123.735
295,8867.085
296,6839.21
297,9179.84
298,10258.18
299,10983.82
300,5768.115
301,7590.89
302,5537.3
303,8026.165
304,3929.695
305,5717.685
306,5619.365
307,6438.58
308,7142.615
309,5080.12
310,5061.465
311,6636.0
312,4880.905
313,4509.8
314,5698.84
315,6394.325
316,8465.775
317,8480.79
318,8762.91
319,6086.56
320,6233.025
321,11499.35
322,8289.965
323,5089.27
324,6414.595
325,7550.01
326,4529.62
327,6469.185
328,3584.155
329,4776.21
330,9040.835
331,7769.58
332,9065.72
333,9580.31
334,9479.06
335,11762.12
336,5963.305
337,11644.295
338,2791.28
339,5200.655
340,6668.085
341,4245.44
342,8213.465
343,5345.85
344,4896.55
345,8241.96
346,11723.17
347,9605.75
348,5660.46
